FOOD_ID,F_NAME,F_TYPE,F_NUTR,F_ENERGY,F_PROTEIN,F_PROVINCE,F_CARBO,F_SUGAR,F_SODIUM,F_COL,F_SAT,F_TRANS,F_PRICE,F_IMG,CREATED_AT,F_TAGS
S-009,곰치국,국류,1000,420,5.43,1.18,2.39,0.28,380,47.65,0.14,0.01,5000,/image/soup_image/곰치국.png,2025-04-11 14:54:11,"['중지방', '저당', '고칼로리', '국물요리', '고단백']"
S-010,곰탕,국류,600,144,3.43,1.12,0.11,0,124,9.04,0.41,0.05,7260,/image/soup_image/곰탕.png,2025-04-11 14:54:11,"['중지방', '저당', '국물요리', '중간칼로리', '중단백']"
S-011,굴 미역국,국류,280,44.8,1.9,0.47,1.9,0.12,382,1.46,0.09,0,1400,/image/soup_image/굴 미역국.png,2025-04-11 14:54:11,"['저당', '저지방', '국물요리', '미역', '저단백', '저칼로리', '굴']"
S-012,굴국_무,국류,500,125,2.41,0.36,2.93,0.14,251,8.78,0.09,0,5300,/image/soup_image/굴국_무.png,2025-04-11 14:54:11,"['저당', '저지방', '국물요리', '중간칼로리', '무', '중단백', '굴']"
S-013,근대 된장국,국류,300,30,0.9,0.25,1.36,0.21,184,0.26,0.04,0,1500,/image/soup_image/근대 된장국.png,2025-04-11 14:54:11,"['저당', '저지방', '국물요리', '저단백', '발효국', '저칼로리']"
S-014,김국,국류,320,41.6,0.9,0.25,2.34,0.27,114,10.28,0.08,0,6800,/image/soup_image/김국.png,2025-04-11 14:54:12,"['저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-015,김치 된장국,국류,280,42,1.1,0.38,1.97,0.71,239,0.99,0.06,0,5132,/image/soup_image/김치 된장국.png,2025-04-11 14:54:12,"['저당', '김치', '저지방', '국물요리', '저단백', '발효국', '저칼로리', '매운맛']"
S-016,김치국,국류,400,92,1.34,0.76,2.63,0.03,208,4.78,0.19,0,7332,/image/soup_image/김치국.png,2025-04-11 14:54:12,"['김치', '저당', '저지방', '국물요리', '저단백', '저칼로리', '매운맛']"
S-017,김치국_콩나물,국류,400,48,0.82,0.47,1.15,0.49,230,0.6,0.09,0,5960,/image/soup_image/김치국_콩나물.png,2025-04-11 14:54:12,"['저당', '콩', '김치', '저지방', '국물요리', '저단백', '콩나물', '저칼로리', '매운맛']"
S-018,꼬리곰탕,국류,800,320,2.3,2.17,2.29,0.23,79,8.29,0.62,0,4000,/image/soup_image/꼬리곰탕.png,2025-04-11 14:54:12,"['저당', '고칼로리', '국물요리', '중단백', '고지방']"
S-019,낙지탕,국류,600,186,4.9,0.53,1.73,0.32,284,48.74,0.07,0,3000,/image/soup_image/낙지탕.png,2025-04-11 14:54:12,"['저당', '저지방', '국물요리', '중간칼로리', '낙지', '중단백']"
S-020,내장탕,국류,600,426,5.82,4.52,1.68,0.05,216,63.89,1.78,0.01,3000,/image/soup_image/내장탕.png,2025-04-11 14:54:12,"['저당', '고칼로리', '국물요리', '고단백', '고지방']"
S-021,다슬기 된장국,국류,300,69,2.1,0.68,2.6,0.41,128,1.57,0.08,0,1500,/image/soup_image/다슬기 된장국.png,2025-04-11 14:54:12,"['저당', '저지방', '국물요리', '발효국', '저칼로리', '중단백']"
S-022,달걀국,국류,400,52,0.93,0.74,0.69,0,246,31.11,0.27,0,2000,/image/soup_image/달걀국.png,2025-04-11 14:54:12,"['저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-023,달래 된장국,국류,243.4,94.93,3,1.85,2.55,0.79,188,3.84,0.46,0,1218,/image/soup_image/달래 된장국.png,2025-04-11 14:54:13,"['중지방', '저당', '국물요리', '발효국', '저칼로리', '중단백']"
S-024,닭고기 미역국,국류,280,58.8,3.2,0.74,0.71,0.01,191,8.03,0.18,0,3150,/image/soup_image/닭고기 미역국.png,2025-04-11 14:54:13,"['닭고기', '저당', '저지방', '닭', '국물요리', '미역', '저칼로리', '중단백']"
S-025,닭곰탕,국류,650,331.5,7.51,1.42,2,0.3,170,36.02,0.3,0,7312,/image/soup_image/닭곰탕.png,2025-04-11 14:54:13,"['중지방', '닭고기', '저당', '닭', '고칼로리', '국물요리', '고단백']"
S-026,도가니탕,국류,500,200,8.35,0.33,0.82,0,150,18.34,0.13,0.01,2500,/image/soup_image/도가니탕.png,2025-04-11 14:54:13,"['저당', '저지방', '고칼로리', '국물요리', '고단백']"
S-027,동태국,국류,400,68,2.42,0.16,1.4,0,224,11.46,0.02,0,2000,/image/soup_image/동태국.png,2025-04-11 14:54:13,"['저당', '저지방', '국물요리', '저칼로리', '중단백']"
S-028,된장국_냉이,국류,400,88,1.71,0.66,2.2,0.3,236,0,0.09,0,2000,/image/soup_image/된장국_냉이.png,2025-04-11 14:54:13,"['저당', '저지방', '국물요리', '저단백', '발효국', '저칼로리']"
S-029,된장국_무,국류,450,103.5,1.36,0.53,3.27,1.31,387,0,0.07,0,1688,/image/soup_image/된장국_무.png,2025-04-11 14:54:13,"['저지방', '국물요리', '중간칼로리', '저단백', '중간당', '발효국', '무']"
S-030,된장국_미역,국류,400,96,1.56,0.97,2.28,0.61,305,0,0.07,0,2000,/image/soup_image/된장국_미역.png,2025-04-11 14:54:13,"['저당', '저지방', '국물요리', '미역', '저단백', '발효국', '저칼로리']"
S-031,된장국_배추,국류,400,80,1.46,0.4,2.58,0,223,3.07,0.06,0,2000,/image/soup_image/된장국_배추.png,2025-04-11 14:54:13,"['저당', '저지방', '국물요리', '저단백', '발효국', '저칼로리']"
S-032,된장국_시금치,국류,400,36,1.02,0.17,0.98,0.11,124,0.64,0.03,0,2000,/image/soup_image/된장국_시금치.png,2025-04-11 14:54:14,"['저당', '저지방', '국물요리', '저단백', '발효국', '시금치', '저칼로리']"
S-033,된장국_시래기,국류,400,60,1.31,0.22,2.03,0,195,0.91,0.03,0,2000,/image/soup_image/된장국_시래기.png,2025-04-11 14:54:14,"['저당', '저지방', '국물요리', '저단백', '발효국', '저칼로리']"
S-034,된장국_쑥,국류,400,60,1.22,0.47,1.52,0.73,243,0.21,0.06,0,2000,/image/soup_image/된장국_쑥.png,2025-04-11 14:54:14,"['저당', '저지방', '국물요리', '저단백', '발효국', '저칼로리']"
S-035,된장국_아욱,국류,400,80,2.28,0.56,1.59,0.11,236,10.22,0.08,0,2000,/image/soup_image/된장국_아욱.png,2025-04-11 14:54:14,"['저당', '저지방', '국물요리', '발효국', '저칼로리', '중단백']"
S-036,된장국_우렁,국류,500,245,4.92,1.54,3.84,0.72,427,21.08,0.22,0,2500,/image/soup_image/된장국_우렁.png,2025-04-11 14:54:14,"['중지방', '저당', '고칼로리', '국물요리', '발효국', '중단백']"
S-037,된장국_콩나물,국류,400,124,2.58,1.11,2.62,0.53,365,0,0.1,0,3265,/image/soup_image/된장국_콩나물.png,2025-04-11 14:54:14,"['중지방', '저당', '콩', '국물요리', '중간칼로리', '발효국', '콩나물', '중단백']"
S-038,된장국_해물,국류,400,112,2.1,0.98,2.68,0.45,384,11.38,0.13,0,2000,/image/soup_image/된장국_해물.png,2025-04-11 14:54:14,"['저당', '저지방', '국물요리', '중간칼로리', '발효국', '중단백']"
S-039,된장국_호박,국류,400,124,3.34,1.31,1.41,0.49,452,0,0.15,0,2000,/image/soup_image/된장국_호박.png,2025-04-11 14:54:14,"['중지방', '저당', '국물요리', '중간칼로리', '호박', '발효국', '중단백']"
S-040,두부 달걀탕,국류,320,144,4.7,2.11,1.58,0.1,230,44.32,0.49,0,1600,/image/soup_image/두부 달걀탕.png,2025-04-11 14:54:15,"['두부', '저당', '국물요리', '중간칼로리', '중단백', '고지방']"
S-041,두부 된장국,국류,229.3,57.33,2.5,0.92,1.78,0.41,203,5.83,0.15,0,1148,/image/soup_image/두부 된장국.png,2025-04-11 14:54:15,"['두부', '저당', '저지방', '국물요리', '발효국', '저칼로리', '중단백']"
S-042,두부 된장국_바지락,국류,300,63,2,0.67,1.64,0.51,125,1.17,0.11,0,1500,/image/soup_image/두부 된장국_바지락.png,2025-04-11 14:54:15,"['두부', '저당', '저지방', '국물요리', '발효국', '저칼로리', '중단백']"
S-043,두부 된장국_유부,국류,300,75,1.8,1.33,1.54,0.34,207,0,0.21,0,1500,/image/soup_image/두부 된장국_유부.png,2025-04-11 14:54:15,"['중지방', '저당', '두부', '국물요리', '저단백', '발효국', '저칼로리']"
S-044,두부국,국류,270,51.3,1.8,0.83,1.25,0.22,185,2.18,0.14,0,1350,/image/soup_image/두부국.png,2025-04-11 14:54:15,"['두부', '저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-045,매생이국,국류,500,120,2,0.56,2.68,0.08,284,1.32,0.12,0.02,2500,/image/soup_image/매생이국.png,2025-04-11 14:54:15,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-046,메밀묵국,국류,144.5,93.93,1.6,1.27,12.03,1.45,249,0,0.21,0,722,/image/soup_image/메밀묵국.png,2025-04-11 14:54:15,"['중지방', '국물요리', '저단백', '중간당', '저칼로리']"
S-047,몸국,국류,650,143,2.9,0.65,1.54,0.4,119,5.86,0.21,0,3250,/image/soup_image/몸국.png,2025-04-11 14:54:15,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-048,무국,국류,320,22.4,0.3,0.17,1.2,0.39,184,0.01,0.03,0,1200,/image/soup_image/무국.png,2025-04-11 14:54:16,"['저당', '저지방', '국물요리', '저단백', '저칼로리', '무']"
S-049,무국_들깨,국류,270,40.5,0.6,0.76,1.63,0.44,170,0.01,0.07,0,1012,/image/soup_image/무국_들깨.png,2025-04-11 14:54:16,"['저당', '저지방', '국물요리', '저단백', '저칼로리', '무']"
S-050,무국_어묵,국류,320,67.2,1.9,0.39,2.53,0.67,223,4.2,0.08,0,1200,/image/soup_image/무국_어묵.png,2025-04-11 14:54:16,"['저당', '저지방', '국물요리', '저단백', '저칼로리', '무']"
S-051,무국_홍합,국류,350,87.5,0.79,2.03,0.86,0.24,233,2.3,0.01,0,1312,/image/soup_image/무국_홍합.png,2025-04-11 14:54:16,"['저당', '홍합', '국물요리', '저단백', '저칼로리', '무', '고지방']"
S-052,미소된장국,국류,150,37.5,1.87,1.2,1.87,0.47,345,0,0.13,0,750,/image/soup_image/미소된장국.png,2025-04-11 14:54:16,"['중지방', '저당', '국물요리', '저단백', '발효국', '저칼로리']"
S-053,미역국,국류,400,48,0.65,0.61,0.87,0.27,168,0,0.05,0,2000,/image/soup_image/미역국.png,2025-04-11 14:54:16,"['저당', '저지방', '국물요리', '미역', '저단백', '저칼로리']"
S-054,미역국_대합,국류,400,44,1.23,0.45,0.56,0.01,232,3.59,0.16,0.01,2000,/image/soup_image/미역국_대합.png,2025-04-11 14:54:16,"['저당', '저지방', '국물요리', '미역', '저단백', '저칼로리']"
S-055,미역국_들깨,국류,180,30.6,0.75,1.21,1.29,0.04,194,0,0.11,0,900,/image/soup_image/미역국_들깨.png,2025-04-11 14:54:16,"['중지방', '저당', '국물요리', '미역', '저단백', '저칼로리']"
S-056,미역국_북어,국류,100,19,2.46,0.56,1.04,0,295,9.29,0.09,0,500,/image/soup_image/미역국_북어.png,2025-04-11 14:54:16,"['저당', '저지방', '국물요리', '미역', '저칼로리', '중단백']"
S-057,미역국_새우,국류,400,64,1.09,0.46,1.83,0,5,11.31,0.03,0,2000,/image/soup_image/미역국_새우.png,2025-04-11 14:54:17,"['저당', '저지방', '국물요리', '미역', '저단백', '새우', '저칼로리']"
S-058,미역국_소고기,국류,400,52,1.86,0.26,0.82,0.52,196,4.24,0.04,0,2000,/image/soup_image/미역국_소고기.png,2025-04-11 14:54:17,"['소고기', '저당', '저지방', '국물요리', '미역', '저단백', '저칼로리']"
S-059,미역국_참치,국류,100,19,2.62,0.57,0.9,0,309,4.6,0.07,0,500,/image/soup_image/미역국_참치.png,2025-04-11 14:54:17,"['저당', '저지방', '국물요리', '미역', '참치', '저칼로리', '중단백']"
S-060,미역국_홍합,국류,650,169,3.03,0.72,1.78,0,314,8.98,0.14,0,3250,/image/soup_image/미역국_홍합.png,2025-04-11 14:54:17,"['저당', '저지방', '홍합', '국물요리', '중간칼로리', '미역', '중단백']"
S-061,미역냉국,국류,160,41.6,0.9,1.65,2.58,0.89,643,0.03,0.26,0,800,/image/soup_image/미역냉국.png,2025-04-11 14:54:17,"['중지방', '저당', '국물요리', '미역', '저단백', '저칼로리']"
S-062,바지락 된장국,국류,300,48,1.6,0.35,1.78,0.41,130,0.59,0.06,0,1500,/image/soup_image/바지락 된장국.png,2025-04-11 14:54:17,"['저당', '저지방', '국물요리', '저단백', '발효국', '저칼로리']"
S-063,바지락 미역국,국류,300,39,1.9,0.28,1.22,0.1,304,1.27,0.06,0,1500,/image/soup_image/바지락 미역국.png,2025-04-11 14:54:17,"['저당', '저지방', '국물요리', '미역', '저단백', '저칼로리']"
S-064,배추 된장국_바지락,국류,320,80,3,0.51,2.14,1.02,323,3.91,0.1,0,1600,/image/soup_image/배추 된장국_바지락.png,2025-04-11 14:54:17,"['저지방', '저칼로리', '국물요리', '중간당', '발효국', '중단백']"
S-065,배추 된장국_소고기,국류,350,140,2.9,2.32,1.88,0.5,198,7.5,0.69,0,1750,/image/soup_image/배추 된장국_소고기.png,2025-04-11 14:54:18,"['소고기', '저당', '국물요리', '중간칼로리', '중단백', '발효국', '고지방']"
S-066,배추국_들깨,국류,320,64,1,1.25,1.77,0.61,213,0,0.09,0,1600,/image/soup_image/배추국_들깨.png,2025-04-11 14:54:18,"['중지방', '저당', '국물요리', '저단백', '저칼로리']"
S-067,배추국_소고기,국류,400,64,1.84,0.41,1.14,0,248,5.58,0.09,0.01,2000,/image/soup_image/배추국_소고기.png,2025-04-11 14:54:18,"['소고기', '저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-068,버섯국,국류,320,134.4,3.3,2.43,2.71,0.5,161,7.66,0.72,0,1600,/image/soup_image/버섯국.png,2025-04-11 14:54:18,"['버섯', '저당', '국물요리', '중간칼로리', '중단백', '고지방']"
S-069,북어국,국류,400,112,3.89,0.98,0.84,0.12,232,21.61,0.17,0,2000,/image/soup_image/북어국.png,2025-04-11 14:54:18,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-070,북어국_달걀,국류,300,96,4.9,0.91,0.89,0.3,150,29.02,0.24,0,1500,/image/soup_image/북어국_달걀.png,2025-04-11 14:54:18,"['저당', '저지방', '국물요리', '저칼로리', '중단백']"
S-071,북어국_무,국류,300,90,4.5,0.82,0.97,0.33,148,25.51,0.21,0,1125,/image/soup_image/북어국_무.png,2025-04-11 14:54:18,"['저당', '저지방', '국물요리', '저칼로리', '무', '중단백']"
S-072,북어국_콩나물,국류,300,90,4.6,0.87,0.99,0.3,129,25.92,0.23,0,2450,/image/soup_image/북어국_콩나물.png,2025-04-11 14:54:18,"['저당', '저지방', '콩', '국물요리', '콩나물', '저칼로리', '중단백']"
S-073,뼈다귀해장국,국류,650,136.5,2.7,0.63,0.96,0.36,108,5.86,0.2,0,3250,/image/soup_image/뼈다귀해장국.png,2025-04-11 14:54:18,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-074,사골국,국류,400,220,5.56,2.42,2.81,0,75,19.12,0.94,0.08,2000,/image/soup_image/사골국.png,2025-04-11 14:54:19,"['저당', '고칼로리', '국물요리', '고단백', '고지방']"
S-075,삼계탕,국류,900,909,10.68,4.8,3.84,0.45,82,48.19,1.29,0.03,4500,/image/soup_image/삼계탕.png,2025-04-11 14:54:19,"['저당', '고칼로리', '국물요리', '고단백', '고지방']"
S-076,새우젓국,국류,320,73.6,2,0.72,2.21,0.75,276,4.33,0.12,0,1600,/image/soup_image/새우젓국.png,2025-04-11 14:54:19,"['저당', '저지방', '국물요리', '새우', '저칼로리', '중단백']"
S-077,새우탕,국류,500,165,5.17,0.44,2,0.06,268,32.73,0.09,0,2500,/image/soup_image/새우탕.png,2025-04-11 14:54:19,"['저당', '저지방', '국물요리', '중간칼로리', '새우', '고단백']"
S-078,선지해장국_내장,국류,600,204,4.4,0.98,2.07,0.41,278,12.66,0.28,0,3000,/image/soup_image/선지해장국_내장.png,2025-04-11 14:54:19,"['저당', '저지방', '고칼로리', '국물요리', '중단백']"
S-079,선짓국,국류,600,162,3.6,0.49,2.15,0.45,248,0.75,0.13,0,3000,/image/soup_image/선짓국.png,2025-04-11 14:54:19,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-080,설렁탕,국류,500,120,4.26,0.58,0.36,0,22,6.97,0.23,0.02,2500,/image/soup_image/설렁탕.png,2025-04-11 14:54:19,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-081,소고기 두부국,국류,320,108.8,2.8,2.18,0.62,0.04,160,6.14,0.61,0,1600,/image/soup_image/소고기 두부국.png,2025-04-11 14:54:19,"['소고기', '저당', '두부', '국물요리', '중간칼로리', '중단백', '고지방']"
S-082,소고기 무국,국류,251.9,57.94,1.6,1.49,0.53,0.17,135,5.2,0.46,0,1050,/image/soup_image/소고기 무국.png,2025-04-11 14:54:20,"['중지방', '저당', '소고기', '국물요리', '저단백', '저칼로리', '무']"
S-083,소탕,국류,150,87,5.1,3.57,1.27,0.02,236,0,0.39,0.01,750,/image/soup_image/소탕.png,2025-04-11 14:54:20,"['저당', '국물요리', '고단백', '저칼로리', '고지방']"
S-084,아구탕,국류,600,246,6.3,0.82,2.13,0.3,311,53.16,0.13,0,3000,/image/soup_image/아구탕.png,2025-04-11 14:54:20,"['저당', '저지방', '고칼로리', '국물요리', '고단백']"
S-085,아욱 된장국_건새우,국류,188.4,35.8,1.7,0.37,2.84,0.43,251,5.46,0.07,0,942,/image/soup_image/아욱 된장국_건새우.png,2025-04-11 14:54:20,"['저당', '저지방', '저칼로리', '국물요리', '저단백', '새우', '발효국']"
S-086,양배추 된장국,국류,184.4,62.7,2.9,0.89,3.93,1.61,313,9.07,0.16,0,922,/image/soup_image/양배추 된장국.png,2025-04-11 14:54:20,"['저지방', '양배추', '저칼로리', '국물요리', '중간당', '발효국', '중단백']"
S-087,어묵국,국류,600,192,2.2,0.78,4.16,0.78,250,4.04,0.15,0,3000,/image/soup_image/어묵국.png,2025-04-11 14:54:20,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-088,어묵탕_고춧가루,국류,600,216,2.5,0.89,4.64,0.9,240,5.58,0.17,0,3000,/image/soup_image/어묵탕_고춧가루.png,2025-04-11 14:54:20,"['저당', '저지방', '고칼로리', '국물요리', '중단백']"
S-089,어탕,국류,150,85.5,8.47,2.06,1.21,0,323,35.04,0.29,0.01,750,/image/soup_image/어탕.png,2025-04-11 14:54:20,"['저당', '국물요리', '고단백', '저칼로리', '고지방']"
S-090,연포탕,국류,1000,540,9.49,0.9,2.02,0.02,234,105.75,0.18,0.01,5000,/image/soup_image/연포탕.png,2025-04-11 14:54:20,"['저당', '저지방', '고칼로리', '국물요리', '고단백']"
S-091,열무 된장국,국류,152.5,30.5,2.1,0.51,2.09,0.48,338,7.89,0.1,0,572,/image/soup_image/열무 된장국.png,2025-04-11 14:54:21,"['저당', '저지방', '국물요리', '발효국', '저칼로리', '무', '중단백']"
S-092,오이냉국,국류,100,19,0.5,0.09,3.92,3.48,328,0.17,0.02,0,500,/image/soup_image/오이냉국.png,2025-04-11 14:54:21,"['저지방', '국물요리', '오이', '저단백', '중간당', '저칼로리']"
S-093,오징어국,국류,500,90,2.22,0.73,0.73,0.24,257,31.88,0.08,0,2500,/image/soup_image/오징어국.png,2025-04-11 14:54:21,"['저당', '저지방', '오징어', '국물요리', '저칼로리', '중단백']"
S-094,올갱이국,국류,600,144,2.28,0.7,2.17,0.27,336,14.23,0.13,0,3000,/image/soup_image/올갱이국.png,2025-04-11 14:54:21,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-095,유부국,국류,190,32.3,1.08,1.02,1.13,0.2,162,0,0.16,0,950,/image/soup_image/유부국.png,2025-04-11 14:54:21,"['중지방', '저당', '국물요리', '저단백', '저칼로리']"
S-096,장어탕,국류,800,536,4.32,3.91,3.68,2.66,387,33.75,0.63,0.02,4000,/image/soup_image/장어탕.png,2025-04-11 14:54:21,"['고칼로리', '국물요리', '중단백', '중간당', '고지방']"
S-097,재첩국,국류,350,80.5,0.67,0.29,4.54,0,126,4.27,0.01,0,1750,/image/soup_image/재첩국.png,2025-04-11 14:54:21,"['저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-098,전복탕,국류,600,198,4.47,0.5,2.63,0.22,296,48.56,0.1,0,3000,/image/soup_image/전복탕.png,2025-04-11 14:54:21,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-099,조개국,국류,400,64,1.67,0.89,0.25,0.18,297,4.01,0.05,0,2000,/image/soup_image/조개국.png,2025-04-11 14:54:21,"['저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-100,조개국_바지락,국류,550,159.5,4,0.56,1.84,0.24,290,16.25,0.11,0,2750,/image/soup_image/조개국_바지락.png,2025-04-11 14:54:22,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-101,지리탕_복,국류,600,234,6.95,0.45,1.72,0.23,225,34.96,0.07,0,3000,/image/soup_image/지리탕_복.png,2025-04-11 14:54:22,"['저당', '저지방', '고칼로리', '국물요리', '고단백']"
S-102,콩나물 황태국,국류,300,90,4.6,0.87,0.99,0.3,129,25.92,0.23,0,2450,/image/soup_image/콩나물 황태국.png,2025-04-11 14:54:22,"['저당', '저지방', '콩', '국물요리', '콩나물', '저칼로리', '중단백']"
S-103,콩나물국,국류,400,24,0.74,0.09,0.61,0.16,219,0.73,0.03,0,3265,/image/soup_image/콩나물국.png,2025-04-11 14:54:22,"['저당', '저지방', '콩', '국물요리', '저단백', '콩나물', '저칼로리']"
S-104,콩나물국_고춧가루,국류,300,24,0.8,0.25,0.92,0.14,171,0.01,0.05,0,2450,/image/soup_image/콩나물국_고춧가루.png,2025-04-11 14:54:22,"['저당', '저지방', '콩', '국물요리', '저단백', '콩나물', '저칼로리']"
S-105,콩나물국_청양고추,국류,300,24,0.9,0.25,0.97,0.16,179,0.01,0.05,0,2450,/image/soup_image/콩나물국_청양고추.png,2025-04-11 14:54:22,"['저당', '콩', '저지방', '국물요리', '저단백', '콩나물', '저칼로리', '매운맛']"
S-106,콩나물국_콩나물_소고기,국류,180,52.2,2.31,1.63,1.53,0.33,117,5.29,0.47,0,1328,/image/soup_image/콩나물국_콩나물_소고기.png,2025-04-11 14:54:22,"['중지방', '저당', '콩', '소고기', '국물요리', '콩나물', '저칼로리', '중단백']"
S-107,토란국,국류,400,64,1,0.12,2.61,0.27,190,1.12,0.04,0,2000,/image/soup_image/토란국.png,2025-04-11 14:54:22,"['저당', '저지방', '국물요리', '저단백', '저칼로리']"
S-108,해장국_선지,국류,600,174,3.86,0.96,1.23,0,312,29.05,0.13,0,3000,/image/soup_image/해장국_선지.png,2025-04-11 14:54:22,"['저당', '저지방', '국물요리', '중간칼로리', '중단백']"
S-109,해장국_우거지,국류,600,156,1.98,0.98,2.25,0.42,342,3.73,0.2,0,3000,/image/soup_image/해장국_우거지.png,2025-04-11 14:54:23,"['저당', '저지방', '국물요리', '중간칼로리', '저단백', '우거지']"
S-110,호박잎 된장국,국류,180,30.6,1.3,0.37,2.53,0.54,183,0.06,0.06,0,900,/image/soup_image/호박잎 된장국.png,2025-04-11 14:54:23,"['저당', '저지방', '국물요리', '호박', '저단백', '발효국', '저칼로리']"
S-111,홍합탕_홍합만,국류,100,29,3.68,0.57,2.28,0,303,25.13,0.14,0.01,500,/image/soup_image/홍합탕_홍합만.png,2025-04-11 14:54:23,"['저당', '저지방', '홍합', '국물요리', '저칼로리', '중단백']"
S-112,황태해장국,국류,600,180,4.08,1.13,0.95,0.25,256,25.05,0.18,0,3000,/image/soup_image/황태해장국.png,2025-04-11 14:54:23,"['중지방', '저당', '국물요리', '중간칼로리', '중단백']"
